LoanRange,BusinessName,Address,City,State,Zip,NAICSCode,BusinessType,RaceEthnicity,Gender,Veteran,NonProfit,JobsRetained,DateApproved,Lender,CD
a $5-10 million,3MD INC DBA DENALI ADVANCED INTEGRATION,17735 NE 65TH STREET SUITE 130,REMOND,WA,98052,,Corporation,,,,,,5/3/2020,,
a $5-10 million,"A PLACE FOR ROVER, INC.",720 Olive Way Suite 1900,SEATTLE,WA,98101,454110,Sole Proprietorship,,,,,220,4/15/2020,,
a $5-10 million,ABSHER CONSTRUCTION CO.,1001 Shaw Road,PUYALLUP,WA,98372,236220,Corporation,,,,,320,4/13/2020,,
a $5-10 million,"ALLIANCE BUILDING SERVICES, LLC",3300 MAPLE VALLEY HWY,RENTON,WA,98058,561720,Limited  Liability Company(LLC),,,,,500,4/27/2020,,
a $5-10 million,"ANCHOR QEA, LLC","1201 3rd Avenue, Suite 2600",SEATTLE,WA,98101,541620,Limited  Liability Company(LLC),,,,,400,4/15/2020,,
a $5-10 million,"AUBURN MECHANICAL, INC.",2623 WEST VALLEY HWY N,AUBURN,WA,98001,238220,Corporation,,,,,0,4/7/2020,,
a $5-10 million,"AXIA FINANCIAL, LLC",1120 112TH AVE NE STE 600,BELLEVUE,WA,98004,522292,Limited  Liability Company(LLC),,,,,289,4/16/2020,,
a $5-10 million,"BARGREEN-ELLINGSON, INC",6626 tacoma mall blvd,TACOMA,WA,98409,423440,Subchapter S Corporation,,,,,495,4/15/2020,,
a $5-10 million,"BODY CONTOUR CENTERS, LLC",5000 Carillon Pt,KIRKLAND,WA,98033,621111,Limited  Liability Company(LLC),,,,,490,4/11/2020,,
a $5-10 million,BRIDGE PARTNERS LLC,10510 NORTHUP WAY STE 350,KIRKLAND,WA,98033,541613,Limited  Liability Company(LLC),,,,,175,4/16/2020,,
a $5-10 million,"BURGERVILLE, LLC",109 West 17TH ST,VANCOUVER,WA,98660,722513,Limited  Liability Company(LLC),,,,,500,4/14/2020,,
a $5-10 million,BURKHART DENTAL SUPPLY COMPANY,2502 S 78th St,TACOMA,WA,98409,423450,Corporation,,,,,410,4/11/2020,,
a $5-10 million,"CAMBRIDGE MANAGEMENT, INC.",1911 65th Ave. West,TACOMA,WA,98466,531311,Corporation,,,,,500,4/30/2020,,
a $5-10 million,CENTERLINE LOGISTICS CORPORATION,910 SW Spokane St,SEATTLE,WA,98134,483211,Corporation,,,,,500,4/28/2020,,
a $5-10 million,CENTRAL WELDING SUPPLY CO INC.,13300 38th Ave NE,MARYSVILLE,WA,98271,423830,Corporation,,,,,330,4/6/2020,,
a $5-10 million,"CHRISTENSEN, INC.",1060 JADWIN AVE STE 150,RICHLAND,WA,99352,424720,Subchapter S Corporation,,,,,308,4/13/2020,,
a $5-10 million,COLUMBIA MACHINE INC.,107 Grand  Blvd,VANCOUVER,WA,98661,333249,Corporation,,,,,0,4/27/2020,,
a $5-10 million,COMAGINE HEALTH,10700 Meridian Ave N.,SEATTLE,WA,98133,621999,Non-Profit Organization,,,,,0,4/28/2020,,
a $5-10 million,COMMUNITY HEALTH OF CENTRAL WASHINGTON,501 S 5th Ave,YAKIMA,WA,98902,621111,Non-Profit Organization,,,,,343,4/10/2020,,
a $5-10 million,COMPASS HEALTH,4526 FEDERAL AVE Building 4E,EVERETT,WA,98203,621420,Non-Profit Organization,,,,,0,4/28/2020,,
a $5-10 million,"CRUNCH PAK HOLDING COMPANY, LLC",300 Sunset Ave,CASHMERE,WA,98815,115114,Limited  Liability Company(LLC),,,,,500,4/13/2020,,
a $5-10 million,D AMATO CONVERSANTO INC,818 STEWART ST #1000,SEATTLE,WA,98101,541330,Subchapter S Corporation,,,,,0,4/6/2020,,
a $5-10 million,DAILY DOZEN DOUGHNUT CO,93 PIKE ST,SEATTLE,WA,98101,445291,Subchapter S Corporation,,,,,7,6/17/2020,,
a $5-10 million,"ELECTROIMPACT, INC.",4413 Chennault Beach Rd,MUKILTEO,WA,98275,336413,Corporation,,,,,449,4/28/2020,,
a $5-10 million,EMERALD CITY PIZZA LLC,12121 Harbour Reach Dr. #200,MUKILTEO,WA,98275,722513,Limited  Liability Company(LLC),,,,,500,4/13/2020,,
a $5-10 million,EVERGREEN RESTAURANT GROUP LLC,1180 NW Maple Street 105,ISSAQUAH,WA,98027,722511,Limited  Liability Company(LLC),,,,,500,4/15/2020,,
a $5-10 million,"EXPERT DRYWALL, INC.",15140 NE 92nd St,REDMOND,WA,98052,238310,Corporation,,,,,212,4/9/2020,,
a $5-10 million,"EXTRAHOP NETWORKS, INC.",520 Pike Street Suite 1700,SEATTLE,WA,98101,511210,Corporation,,,,,0,4/13/2020,,
a $5-10 million,"FAMILY CARE NETWORK, P.L.L.C.",709 W Orchard Dr,BELLINGHAM,WA,98225,621111,Corporation,,,,,488,4/12/2020,,
a $5-10 million,FOSTER GARVEY P.C.,1111 3rd Ave. Suite 3000,SEATTLE,WA,98101,541110,Corporation,,,,,305,4/15/2020,,
a $5-10 million,"FRESH CONSULTING, INC.",14725 36TH ST Suite 300,BELLEVUE,WA,98006,541512,Corporation,,,,,311,4/29/2020,,
a $5-10 million,GARCO CONSTRUCTION INC.,4114 E Broadway Ave,SPOKANE,WA,99202,236220,Subchapter S Corporation,,,,,0,4/6/2020,,
a $5-10 million,GARY MERLINO CONSTRUCTION CO. INC.,9125 10th Ave S,SEATTLE,WA,98108,237310,Corporation,,,,,431,4/15/2020,,
