@relation Dataset

@attribute 'Loan Range' {'a $5-10 million','b $2-5 million','c $1-2 million','\"d $350,000-1 million\"','\"e $150,000-350,000\"'}
@attribute Zip {00000,98052,98101,98372,98058,98001,98004,98409,98033,98660,98466,98134,98271,99352,98661,98133,98902,98203,98815,98275,98027,98225,98006,99202,98108,98903,98047,98520,98662,98188,98007,98168,98032,99216,98114,98233,98104,98284,98801,98311,98445,98335,99206,98422,98008,98005,98204,98072,98604,98374,98003,98665,99350,98499,98021,98109,98607,98199,98002,98584,98402,98144,98105,98201,98632,98103,98121,99201,98057,98038,98390,98443,98683,99336,98012,99338,98403,98424,98368,98119,99016,99354,99212,98926,98248,98226,98164,98264,98122,98671,98028,98040,98506,98229,98208,98847,99220,98117,98401,98516,99301,98354,98107,98383,98467,98532,98908,98826,98125,98371,98663,98664,99344,99328,98841,98360,98034,98421,98391,98011,98642,98337,98221,99224,98127,99133,98257,98802,98074,98444,98840,98110,98272,98512,98373,98419,99019,98405,98541,98951,98909,98126,98685,98046,98332,98948,98056,98249,98290,98136,99204,98045,98682,98155,98321,98292,99001,98230,98620,99006,98816,98356,98668,99122,98626,98942,98277,98050,98848,98837,98501,98087,98346,98244,98595,98502,98009,98586,98070,98106,98503,99156,99180,98392,98223,98035,98010,98624,98672,99111,98065,98331,99207,98177,98936,98115,98605,98036,98557,99223,98406,98684,98092,98901,98930,99218,98102,98232,99114,99362,98370,98252,98124,98580,98568,98952,98206,98407,98148,98674,98026,98118,98031,98043,99217,98296,98022,98165,98273,98591,98270,98932,98531,98077,98112,98019,98686,98083,98446,98258,98907,99141,98923,99403,98059,98274,98944,98411,98071,98029,98666,98166,98295,99208,99166,99337,98938,98312,98154,98362,98178,98812,99213,98235,98941,98327,98597,98042,98020,98509,98037,98382,98831,99320,98227,98629,99109,98250,99205,98592,98198,98855,98245,98844,98051,98363,98823,98367,99169,99357,98857,98606,98161,98922,99302,98247,98496,98404,98055,98415,89502,98563,98338,98366,98513,98260,99025,99219,98116,99004,98631,99027,99029,98024,98579,99324,99343,98375,98610,98158,99353,98053,98498,98935,98023,99349,98577,98564,98291,98542,99163,98282,99330,98507,98339,98014,99203,99356,98030,98843,99026,98528,99117,98236,99181,98596,98228,98933,99214,98329,98387,99209,99211,98640,98262,99347,98465,98330,98082,98555,98856,98550,98953,98408,99037,98138,99215,98850,98612,99119,98328,98611,98418,98619,98357,98601,99103,99021,98527,98146,99022,98558,99005,98286,98569,98359,98310,98365,98194,98237,98448,98239,98576,98821,99326,98937,98438,98648,98571,99033,98639,99210,99012,98039,98349,98862,98807,98511,98822,98075,98590,98241,98947,98013,99110,98537,98625,98015,99323,99023,98195,98858,99032,98276,98464,99031,98836,98828,98439,98325,99346,99155,98238,99173,98333,98281,98617,98141,98675,98394,98417,98589,98240,98490,98220,98139,99009,98251,99360,98255,98548,98294,98304,99361,99115,98261,98388,98380,98824,98832,98833,98267,98827,98570,98650,98645,98638,98358,99228,98562,98324,98673,98350,98587,98376,98073,99140,99003,98834,98851,98041,98566,98846,93280,98280,98340}
@attribute 'Jobs Retained' numeric

@data
'a $5-10 million',98052,0
'a $5-10 million',98101,220
'a $5-10 million',98372,320
'a $5-10 million',98058,500
'a $5-10 million',98101,400
'a $5-10 million',98001,0
'a $5-10 million',98004,289
'a $5-10 million',98409,495
'a $5-10 million',98033,490
'a $5-10 million',98033,175
'a $5-10 million',98660,500
'a $5-10 million',98409,410
'a $5-10 million',98466,500
'a $5-10 million',98134,500
'a $5-10 million',98271,330
'a $5-10 million',99352,308
'a $5-10 million',98661,0
'a $5-10 million',98133,0
'a $5-10 million',98902,343
'a $5-10 million',98203,0
'a $5-10 million',98815,500
'a $5-10 million',98101,0
'a $5-10 million',98101,7
'a $5-10 million',98275,449
'a $5-10 million',98275,500
'a $5-10 million',98027,500
'a $5-10 million',98052,212
'a $5-10 million',98101,0
'a $5-10 million',98225,488
'a $5-10 million',98101,305
'a $5-10 million',98006,311
'a $5-10 million',99202,0
'a $5-10 million',98108,431
'a $5-10 million',98052,325
'a $5-10 million',98903,0
'a $5-10 million',98004,316
'a $5-10 million',98047,481
'a $5-10 million',98520,470
'a $5-10 million',98101,0
'a $5-10 million',98006,491
'a $5-10 million',98662,500
'a $5-10 million',98188,500
'a $5-10 million',98007,70
'a $5-10 million',98168,0
'a $5-10 million',98004,0
'a $5-10 million',98032,0
'a $5-10 million',99216,373
'a $5-10 million',98114,487
'a $5-10 million',98233,250
'a $5-10 million',98104,0
'a $5-10 million',98134,0
'a $5-10 million',98284,500
'a $5-10 million',98101,289
'a $5-10 million',98801,0
'a $5-10 million',98101,0
'a $5-10 million',98311,450
'a $5-10 million',98275,0
'a $5-10 million',98445,485
'a $5-10 million',98032,12
'a $5-10 million',98335,0
'a $5-10 million',98101,375
'a $5-10 million',98134,270
'a $5-10 million',99206,0
'a $5-10 million',98033,500
'a $5-10 million',98422,467
'a $5-10 million',98104,200
'a $5-10 million',98101,335
'a $5-10 million',98008,500
'a $5-10 million',98005,453
'a $5-10 million',99216,0
'a $5-10 million',98204,0
'a $5-10 million',98033,0
'a $5-10 million',98072,500
'a $5-10 million',98032,267
'a $5-10 million',98168,388
'a $5-10 million',98604,0
'a $5-10 million',98052,0
'a $5-10 million',98374,431
'a $5-10 million',98003,487
'a $5-10 million',98004,0
'a $5-10 million',98134,409
'a $5-10 million',98665,449
'a $5-10 million',98004,0
'a $5-10 million',98101,228
'a $5-10 million',99350,374
'a $5-10 million',98168,223
'a $5-10 million',98499,0
'a $5-10 million',98021,500
'a $5-10 million',98665,405
'a $5-10 million',99202,0
'a $5-10 million',98109,499
'a $5-10 million',98109,0
'a $5-10 million',98052,207
'a $5-10 million',98607,219
'a $5-10 million',98199,351
'a $5-10 million',98002,420
'a $5-10 million',98005,0
'a $5-10 million',98203,0
'a $5-10 million',98604,427
'a $5-10 million',98584,486
'a $5-10 million',98402,0
'a $5-10 million',98144,0
'a $5-10 million',98032,0
'a $5-10 million',98005,0
'a $5-10 million',98402,0
'a $5-10 million',98275,455
'a $5-10 million',98105,403
'a $5-10 million',99216,0
'a $5-10 million',98101,171
'a $5-10 million',98660,274
'a $5-10 million',98108,0
